	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27	Cell 28	Cell 29	Cell 30	Cell 31	Cell 32	Cell 33	Cell 34	Cell 35	Cell 36	Cell 37	Cell 38	Cell 39	Cell 40	Cell 41	Cell 42	Cell 43	Cell 44	Cell 45	Cell 46	Cell 47	Cell 48	Cell 49	Cell 50	Cell 51	Cell 52	Cell 53	Cell 54	Cell 55	Cell 56	Cell 57	Cell 58	Cell 59	Cell 60	Cell 61	Cell 62	Cell 63	Cell 64	Cell 65	Cell 66	Cell 67	Cell 68	Cell 69	Cell 70	Cell 71	Cell 72	Cell 73	Cell 74	Cell 75	Cell 76	Cell 77	Cell 78	Cell 79	Cell 80	Cell 81
Gna12	-0.0031359	-0.0031359	0.71097	2.7212	1.4411	-0.0031359	-0.0031359	-0.0031359	0.47378	0.27311	-0.0031359	0.097102	-0.0031359	0.5873	-0.0031359	0.33494	0.30981	-0.0031359	3.6379	0.31277	0.45517	-0.0031359	-0.0031359	-0.0031359	-0.0031359	1.0319	-0.0031359	-0.0031359	-0.0031359	-0.0031359	-0.0031359	0.24612	-0.0031359	3.3593	-0.0031359	-0.0031359	-0.0031359	-0.0031359	-0.0031359	-0.0031359	3.158	0.93263	1.3748	1.9188	-0.0031359	-0.0031359	0.20006	-0.0031359	-0.0031359	1.8498	-0.0031359	0.8986	-0.0031359	0.26928	0.48722	0.028732	-0.0031359	3.5024	-0.0031359	2.5069	3.3053	0.065848	-0.0031359	-0.0031359	-0.0031359	-0.0031359	1.807	-0.0031359	-0.0031359	-0.0031359	0.64609	-0.0031359	-0.0031359	-0.0031359	-0.0031359	1.8475	-0.0031359	0.12632	-0.0031359	-0.0031359	-0.0031359
Pih1d2	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	0.47538	0.27471	-0.0015343	0.098703	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	0.33347	-0.0015343	0.92936	-0.0015343	-0.0015343	0.32984	0.13656	2.3334	-0.0015343	-0.0015343	-0.0015343	-0.0015343	3.2674	-0.0015343	-0.0015343	-0.0015343	-0.0015343	0.25659	-0.0015343	0.52891	-0.0015343	-0.0015343	0.54187	-0.0015343	0.82329	-0.0015343	-0.0015343	0.19295	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	0.37592	-0.0015343	1.677	-0.0015343	0.55335	-0.0015343	-0.0015343	1.2117	0.81506	0.067449	0.35409	-0.0015343	-0.0015343	2.8314	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	1.412	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	-0.0015343	0.21409	-0.0015343
Dlat	0.5003	1.3155	1.296	3.5588	2.4364	1.6052	1.9591	1.4244	2.4597	2.3369	2.267	1.9316	2.3388	1.0703	0.0728	1.9013	1.0221	0.62577	1.831	1.5703	2.0694	2.702	2.3518	3.2942	1.2288	2.4742	2.2846	0.92911	0.81196	2.8608	2.1962	1.1223	2.5937	1.3519	1.935	2.1598	3.2793	2.5287	2.2975	3.4463	2.2406	0.46531	2.0685	0.6935	0.45741	0.57021	-0.25321	2.5038	0.7658	2.1103	0.58133	2.7881	0.86502	2.4245	2.1518	1.6391	2.7584	0.54728	0.12487	-0.30353	1.7613	0.9053	1.5057	1.7904	0.93599	1.3796	2.4207	0.62211	2.1717	2.5159	2.8013	0.97639	2.5017	0.49534	0.64412	2.7256	1.5824	2.7496	1.0832	0.81184	2.572
Sdhd	3.7634	2.7851	3.0983	3.9585	3.9208	1.7523	2.0398	2.7763	2.4617	3.4126	3.3014	2.0907	3.6444	4.0797	2.524	2.6567	3.9597	2.5206	3.1694	2.2911	2.5538	2.4255	3.4632	2.8081	1.0554	2.3874	3.1642	2.6127	0.5116	3.5691	2.3187	3.7504	3.1453	2.3449	2.8979	3.7866	2.4198	3.2117	2.848	2.803	2.7161	3.1423	2.5749	1.2704	2.9263	3.7755	2.7977	2.3051	2.8353	2.8168	3.1673	2.7837	1.5188	3.5041	2.295	2.2187	1.7796	3.5129	3.3279	3.5313	2.9677	4.4322	3.1634	2.9809	3.3337	2.4429	2.8654	0.55385	4.1296	1.4446	2.2112	2.3192	1.6733	3.667	3.4264	3.2251	2.1171	2.0644	4.4015	4.0741	2.5908
Fgf6	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	3.1938	0.29221	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	0.031357	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	-0.0005111	0.16175	-0.0005111	-0.0005111	-0.0005111	0.2887	-0.0005111	-0.0005111	0.3232	-0.0005111	-0.0005111	2.3912	-0.0005111	-0.0005111
Ccnd2	3.5098	4.2493	3.7505	4.5186	4.4549	2.9511	4.0337	3.9674	4.9177	3.5092	4.2377	2.7377	3.9672	3.5686	3.8916	4.1369	4.2842	3.0805	3.513	4.0212	3.8518	4.1124	5.0015	3.1793	4.3129	4.0762	3.6282	4.2469	3.0903	4.0643	4.0808	3.5203	4.3701	3.9674	4.505	4.5946	3.8352	3.6171	3.7118	4.57	3.7325	3.9043	3.64	4.0212	3.7072	3.6405	3.7245	3.5965	3.7575	3.7875	4.6914	3.6943	5.017	4.0998	3.9075	2.7724	3.9195	4.0042	4.2184	4.4041	4.4671	3.8487	4.5969	3.8754	3.7405	4.1167	3.4192	3.5871	4.2882	4.0336	3.6119	4.0444	3.4521	4.6773	3.8364	3.848	3.0187	2.9693	4.9664	4.1985	3.3754
Gpr107	0.038466	2.9308	0.60357	1.8501	2.6611	1.4133	1.0337	2.7838	1.091	1.2633	3.6356	1.1831	0.91393	2.1621	0.67425	-0.11402	3.5496	2.7182	1.4753	1.0634	2.8538	1.7298	0.94431	0.82677	3.1672	0.71561	0.62826	1.9914	0.98846	3.7295	2.5373	0.93401	2.2329	1.8628	0.85366	2.8636	1.7937	2.3014	0.77463	0.57421	1.6919	2.3921	3.308	2.5952	2.2735	2.6222	0.71004	0.59538	1.8352	0.54541	3.1578	2.3836	1.2779	2.5647	0.31884	0.97853	1.9971	0.68958	0.45032	2.366	2.7213	0.65333	1.3694	1.4906	2.6402	0.9885	1.5909	1.0455	1.3435	2.5214	2.7167	2.2076	1.2864	0.57534	1.067	1.6809	1.4066	1.5073	0.80279	1.5388	1.9367
Tspan32	0.49236	0.95335	2.2153	4.0765	0.9568	1.196	1.4748	2.3878	3.5744	-0.24278	3.5374	1.3678	0.69577	3.8999	1.0066	-0.19648	3.6789	2.4834	0.53007	3.1054	0.086511	2.6286	0.082308	1.986	1.2763	2.1629	0.3391	2.368	2.7608	0.83581	2.5359	0.99283	0.96353	0.4506	2.7441	3.7836	0.69741	2.8988	1.7203	0.35889	1.3535	2.0649	2.2386	1.252	1.2693	1.1698	0.10682	2.0252	-0.22218	2.5421	2.4365	3.0657	3.3137	0.30295	2.3006	1.633	0.23156	2.7612	1.8924	2.7106	1.8358	0.89763	0.98264	3.2643	2.6929	1.7518	1.5537	3.1436	1.8727	1.0772	0.34754	0.78226	1.5038	2.901	2.6035	2.6909	1.5593	1.7176	1.1923	3.2636	2.6346
Dgke	0.25074	2.8634	2.2604	0.30006	0.92413	0.30049	0.032734	0.72545	-0.004978	0.65488	0.49227	0.17674	0.29341	0.28774	1.2963	-0.004978	3.7417	0.52902	0.33002	1.4913	0.67207	-0.004978	-0.004978	0.32639	-0.004978	1.1934	-0.004978	1.5203	1.5578	1.0059	-0.004978	0.33022	0.84087	0.56518	0.38235	1.2751	0.4172	-0.004978	-0.004978	-0.004978	1.0377	0.54293	0.81984	0.43337	0.6596	2.6554	0.52568	-0.004978	2.5228	0.59105	1.8501	2.053	0.57193	0.26744	2.2962	0.54204	0.90591	0.42255	-0.004978	0.93175	2.2416	0.4022	0.35064	0.60674	-0.004978	0.2753	0.55248	0.065597	1.7668	0.11104	-0.004978	2.8822	1.4688	1.969	-0.004978	0.50264	-0.004978	2.7714	0.12885	0.21065	1.8226
Scpep1	0.33812	0.98326	2.5588	0.92601	0.25222	1.2325	1.5566	2.8009	1.3764	-0.24545	-0.16107	1.3226	0.41215	0.65809	2.14	-0.19789	0.21317	1.2893	-0.30956	0.74424	0.48773	-0.30671	0.42258	0.89568	3.0399	0.22324	2.8322	-0.87439	0.59982	1.5537	1.5397	2.1031	0.40706	2.3697	2.3691	0.59588	1.1425	-0.26086	2.2469	3.3009	2.4734	-0.5492	2.8015	2.1777	1.6249	0.78922	-0.033799	2.0165	1.6615	2.3865	1.7441	2.4035	1.0409	0.035308	-0.9895	1.469	0.34011	0.52863	2.2402	3.124	2.1119	1.5063	0.53807	0.31168	0.67702	3.1354	-0.20868	0.6012	0.35904	1.1073	2.6748	0.93328	2.6176	3.3878	0.37041	-0.17621	1.5	1.2606	1.1371	1.4007	1.1972
