	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27	Cell 28	Cell 29	Cell 30	Cell 31	Cell 32	Cell 33	Cell 34	Cell 35	Cell 36	Cell 37	Cell 38	Cell 39	Cell 40	Cell 41	Cell 42	Cell 43	Cell 44	Cell 45	Cell 46	Cell 47	Cell 48	Cell 49	Cell 50	Cell 51	Cell 52	Cell 53	Cell 54	Cell 55	Cell 56	Cell 57	Cell 58	Cell 59	Cell 60	Cell 61	Cell 62	Cell 63	Cell 64	Cell 65	Cell 66	Cell 67	Cell 68	Cell 69	Cell 70	Cell 71	Cell 72	Cell 73	Cell 74	Cell 75	Cell 76	Cell 77	Cell 78	Cell 79	Cell 80	Cell 81
Cd164	2.8446	4.4165	1.6571	3.5578	3.7082	1.3622	1.5965	2.8009	3.9418	0.016996	0.7	1.3534	2.6835	3.5492	2.982	1.0367	3.3193	2.4927	1.2211	2.5459	2.6675	0.8602	1.7666	2.6247	2.6472	1.3165	1.8707	2.4684	2.7326	0.98889	1.8938	0.83597	2.7455	2.643	3.175	2.5811	0.73591	2.8404	2.1481	2.2927	3.0339	1.3488	2.5487	0.59054	0.18875	3.4302	2.7248	1.0432	2.4995	2.8401	3.4998	1.7241	1.0487	2.4864	2.5068	1.5392	0.41648	3.2471	2.4264	3.3486	2.6174	0.81178	3.1089	3.6951	2.7621	0.6155	0.70038	0.55421	2.9189	3.9176	1.8352	1.655	2.9066	3.573	1.3698	2.2309	1.5393	2.5737	3.8415	3.5184	2.7416
Utrn	1.5208	0.59463	2.5708	2.5384	2.3895	2.1726	1.4277	2.5077	1.9409	3.1006	2.6736	1.5361	1.1951	2.5406	2.0859	1.7649	3.1519	2.3845	1.1204	2.7434	3.5214	0.83929	3.1286	1.8742	3.6032	2.8595	2.594	2.6181	3.5802	1.5871	2.9532	2.1724	0.96952	0.95733	1.3805	3.2879	1.9042	2.9171	2.7755	2.9245	2.9716	2.1077	2.3421	2.8471	1.9456	3.4887	2.3501	2.9852	2.8203	1.0345	2.2557	3.1658	3.2473	3.5371	3.2279	1.8585	2.9669	2.4084	2.9419	3.2318	1.6492	3.3819	3.4695	2.9218	2.2714	2.2664	2.1783	0.74053	2.7112	3.8261	2.7974	2.5162	2.5656	3.6401	3.1721	2.2231	1.5906	3.6227	3.4458	3.486	2.0217
Smpd2	0.036344	1.0403	-0.15074	0.27558	-0.0044894	0.54724	0.67446	-0.34002	0.11519	-0.10929	2.3985	0.54272	0.18282	0.16205	1.9826	-0.088161	1.5202	-0.44125	0.38462	0.24776	2.6141	1.9598	0.039049	0.11457	0.35007	2.4942	-0.19208	-0.38867	0.092449	0.38288	3.0146	0.30157	0.36894	-0.47476	2.649	0.49748	0.31973	-0.11613	-0.38261	0.16526	2.9891	3.2129	-0.44439	0.29662	-0.18036	0.15883	-0.10553	-0.27637	-0.51196	-0.30392	-0.074076	0.073547	0.20584	3.0896	3.1534	0.65229	2.0257	1.4783	-0.10998	-0.12668	1.6563	0.35243	-0.0051392	1.1515	-0.15198	0.71748	-0.34058	0.25536	0.15923	0.55609	1.8841	0.35844	-0.24761	0.081206	0.41971	-0.078531	0.66605	0.39144	0.39997	0.25151	-0.33722
Mical1	0.0048818	0.086925	-0.033474	0.053931	-0.00349	0.10963	0.13571	-0.072281	0.021047	-0.024976	1.6304	0.1087	0.034913	0.32337	3.3135	0.31743	0.016792	-0.093036	-0.030814	0.36414	3.057	0.3515	1.4873	0.85107	0.39652	2.5733	3.0866	2.0898	0.016385	0.26798	-0.1309	2.4622	0.45481	0.47025	0.93559	0.55025	0.18613	0.50407	-0.081013	0.25987	2.7319	-0.052639	3.2402	0.026094	0.26806	0.61372	0.42197	2.8511	-0.10753	2.0738	0.60157	0.90708	0.61654	0.00059324	-0.092739	0.27136	0.20188	0.29579	1.388	-0.028542	-0.0702	0.13867	-0.0036232	0.025763	-0.033729	0.052338	-0.072396	0.035315	0.19234	0.087656	-0.082615	0.070919	-0.053335	0.01408	0.031112	-0.01867	0.13399	0.077684	0.079434	0.048995	-0.071707
Zbtb24	0.010984	0.16776	2.9034	0.40975	-0.0050133	0.21114	0.26098	1.9362	2.2737	-0.046072	-0.031386	1.7698	0.36676	0.35295	3.3382	0.30028	3.1919	0.35787	0.59588	0.27971	0.35007	-0.056733	0.012044	-0.088194	0.1339	1.1233	-0.078506	0.91552	1.086	0.3388	1.9245	0.95047	0.38707	2.9166	2.1789	0.2855	1.6487	-0.048753	-0.15315	0.061489	0.64391	1.497	2.9033	0.20833	-0.073914	0.25346	0.1586	-0.11153	0.97354	0.71684	2.4967	-0.12251	2.3281	0.0027893	2.0917	0.45911	2.7987	0.062242	-0.046342	2.2554	-0.13249	0.40483	-0.0052679	2.1958	0.61485	0.38195	-0.13669	0.20046	0.059129	0.57311	2.2003	0.13718	-0.10026	0.73409	0.061107	-0.034021	0.25769	0.1501	0.15345	0.095281	0.54293
Rev3l	1.0925	2.4211	0.21703	0.79681	0.62545	1.077	1.5453	2.3647	0.2044	0.36739	0.85227	1.7826	3.2642	1.3902	2.2579	0.17813	1.0346	2.0717	1.0968	1.3143	0.81687	2.6356	2.5139	1.7263	1.0842	1.8632	0.88643	2.8043	2.5827	1.1933	1.9929	2.2942	1.0045	1.7522	0.67666	2.9259	1.8915	0.76362	1.4569	1.1119	1.3132	0.10836	2.5199	2.8967	1.7519	0.71366	-0.19107	0.9102	2.9537	2.2957	0.62499	-0.16943	0.36682	1.2292	0.77859	1.3303	0.11173	2.1294	2.2019	1.9725	2.5971	0.93801	0.67148	0.24561	1.9555	1.2225	0.88394	0.87074	0.28331	0.90251	1.6046	2.1316	1.2538	0.14351	0.54778	0.49396	1.8692	2.3708	0.71464	0.44864	0.56681
Fyn	1.1096	0.94812	2.3802	1.8123	2.9169	2.4294	2.489	1.6651	1.6941	0.09894	3.3256	1.5252	2.2834	1.0761	1.7134	2.8125	3.3389	1.4196	1.0485	3.4467	3.202	1.6675	2.7006	2.8014	1.6262	1.3379	0.45764	1.8548	1.3525	1.0558	2.7655	1.4235	3.2263	3.1411	2.0257	3.7269	2.8665	1.2128	2.1991	0.89935	3.1036	1.9477	0.2825	1.9733	2.5949	1.8531	1.0179	2.1454	2.823	1.5138	2.9498	2.4093	1.1285	3.384	2.3073	1.7515	3.0864	3.2325	2.9028	3.3403	1.4668	3.1945	3.0511	1.4254	3.0456	1.3265	2.0663	2.0671	2.9081	1.2505	2.7768	1.8424	1.8803	3.3511	2.2012	2.0765	3.6033	1.8679	2.0937	0.59772	2.7742
Prep	2.5542	0.97447	0.14988	0.61447	1.6128	2.1354	1.5792	-0.17015	0.25567	-0.2465	1.8142	1.4624	1.8845	1.7296	1.6571	2.4755	3.408	2.1445	2.754	2.9589	3.3269	-0.30737	0.73713	0.41108	2.9463	2.6448	-0.43169	0.57679	0.2048	0.96098	0.77079	3.2049	1.6011	2.0985	2.6436	2.9935	0.93234	3.0128	2.9419	1.9085	1.3211	0.38744	1.9154	3.3346	-0.40547	0.35329	-0.23809	0.84878	1.2763	2.0957	1.5506	1.497	0.45846	0.59174	1.7845	1.489	1.0558	3.1825	2.4044	3.3151	2.8393	0.96734	2.0468	1.7709	1.3931	0.59709	2.4842	2.5472	0.35419	1.7776	2.0621	0.79983	2.718	1.5711	1.1874	2.7605	1.488	1.0031	1.1289	2.9371	1.7709
Tnfaip3	1.4244	3.2833	2.2381	1.798	2.8028	1.8243	2.4804	2.6452	3.5872	2.571	3.6333	1.4556	3.5185	1.2312	3.0077	2.0131	2.3424	2.5439	1.6307	3.5319	2.8534	2.678	1.5371	0.13191	2.6982	2.3188	3.8258	3.7458	2.4393	2.654	3.2314	2.2604	3.1146	0.1468	1.9093	2.5271	2.7083	1.9414	3.1864	3.3955	2.9408	0.8252	3.2503	2.7905	2.5795	2.2628	1.6703	1.8887	0.60574	1.4512	2.7407	1.9761	0.88073	2.6029	3.1565	1.0623	1.572	2.2323	2.1453	2.0353	3.1582	3.0705	3.959	3.8642	2.1634	2.4115	1.1508	2.6126	0.57663	2.5348	3.0288	1.579	1.7923	1.5334	1.8429	1.0791	1.6285	1.463	3.9045	0.94923	2.9191
Perp	-0.0031839	0.11083	-0.0031839	-0.0031839	-0.0031839	0.095356	-0.0031839	0.83193	-0.0031839	0.56201	3.5984	0.17853	0.47087	0.7627	-0.0031839	-0.0031839	-0.0031839	0.53081	2.1356	-0.0031839	-0.0031839	1.0891	2.4573	-0.0031839	-0.0031839	-0.0031839	0.41075	3.1626	0.23475	0.18887	-0.0031839	0.13898	-0.0031839	2.6136	1.7496	1.0311	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	0.37475	2.6048	-0.0031839	-0.0031839	1.7704	-0.0031839	0.14851	-0.0031839	2.8493	2.1323	-0.0031839	0.35244	-0.0031839	-0.0031839	-0.0031839	2.5225	-0.0031839	0.36999	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	-0.0031839	0.12627	3.0113	2.9312	-0.0031839
Reps1	1.4231	2.6661	2.4164	0.49467	-0.010613	1.621	1.2867	-0.61595	2.6255	1.4382	2.5061	1.1583	3.0685	0.28983	-0.18906	-0.16157	0.16786	2.3278	1.9943	2.5472	2.9494	0.13327	0.067935	3.0918	0.76715	2.8156	0.99212	1.0803	2.4058	1.0133	-0.074342	0.79081	0.32324	0.38215	2.9882	0.55783	0.79343	2.2776	1.7485	0.29563	2.2225	0.34042	2.2869	0.52169	-0.020287	2.6967	1.3267	0.18399	0.97134	0.18347	3.1747	1.7522	1.186	3.452	2.3564	1.2637	2.8093	0.45079	1.5761	2.8304	2.3641	0.70229	0.34384	1.8143	1.1927	0.48065	2.62	0.93443	3.254	2.7813	2.4194	1.6204	1.3861	0.75187	0.54929	0.49246	1.302	1.9382	0.71908	2.1331	2.0801
Gopc	0.03148	0.53581	0.82115	1.4522	0.62713	0.83526	0.65388	2.4902	2.6063	2.1367	-0.074005	0.88728	0.87042	3.5784	0.78744	0.87856	1.531	1.5415	0.76568	1.3651	1.469	0.24494	2.6324	0.79415	3.1508	2.6595	0.22262	3.451	0.47732	1.1501	0.89632	0.53943	0.36052	0.77415	0.35572	3.7012	0.60564	0.54483	1.6215	2.3855	2.8744	1.1822	1.2844	1.5982	3.4087	2.1314	2.6587	0.41158	0.14893	2.1098	0.54311	2.2907	0.77371	0.011077	0.28268	0.63225	2.5278	0.31079	1.9483	-0.12753	2.2082	0.33978	-0.0089818	2.7946	1.3701	0.25725	-0.33616	0.45128	2.4184	0.42527	0.82164	0.34564	-0.24548	0.37952	0.15626	-0.080565	1.8387	0.37783	0.38615	1.9112	1.4229
Qrsl1	0.030854	3.4622	-0.14851	0.26023	-0.0082959	0.61922	0.98156	-0.32999	0.10645	2.9171	2.4378	0.87825	1.4931	1.2533	1.4589	-0.088518	0.08655	0.3402	-0.13608	0.54946	-0.26092	2.2523	0.68524	1.2977	0.33165	-0.47006	2.8237	1.9081	1.0769	0.62667	1.6269	1.0081	0.67132	2.3245	2.5367	0.32909	1.2847	1.1371	1.0472	3.5784	0.94486	1.3578	0.54931	2.976	0.649	0.47689	2.21	0.83084	2.3686	0.6283	1.7801	1.8717	0.19336	0.91522	2.9282	0.6214	-0.058823	1.2783	1.1917	2.9972	3.2583	0.33391	1.041	1.4868	-0.14971	3.4877	0.54721	1.5416	0.14867	0.41794	1.7441	1.5865	2.0352	3.4481	0.15351	1.0057	1.6181	1.4326	0.37949	0.23715	1.6753
Rtn4ip1	0.31859	0.77257	2.1626	0.48717	-0.0095441	0.96895	1.1946	-0.60461	0.20271	0.08084	0.36832	1.2113	1.3207	3.2737	-0.79188	1.3637	2.6811	2.0876	1.9291	0.43782	-0.47684	2.0044	0.9702	-0.054714	0.61928	1.0936	3.583	1.652	0.16238	0.78395	2.2721	0.53326	1.7568	2.6817	2.7737	0.67386	0.78457	1.5997	1.6314	2.7134	1.4161	3.1022	2.7185	1.7378	1.0179	0.2801	1.3617	0.60807	2.1647	2.4741	2.3939	1.4462	1.8667	1.9297	1.7924	1.4545	0.80788	1.9071	0.19203	0.82319	-0.58661	0.89347	1.1675	0.64865	-0.27112	1.0448	0.78736	0.32613	2.4316	2.0277	0.13699	1.2401	1.2502	1.6458	2.8609	-0.14086	1.1797	3.2916	0.8416	0.6601	2.2332
Aim1	3.2276	4.2386	2.3497	3.4287	3.6051	2.3625	1.3538	3.0181	3.8139	2.7206	3.7381	1.3131	2.8889	3.5078	2.3408	2.8506	2.7673	2.5926	3.4464	2.5778	2.8622	2.6979	2.4024	2.7028	1.1562	2.8816	3.2674	0.8561	3.1225	2.1399	2.4566	3.0566	2.9276	2.2349	2.5855	3.7488	2.0684	3.3465	2.9252	2.5381	2.9041	3.1474	1.396	2.446	0.69012	2.4518	1.7705	2.0476	3.1311	3.4284	3.6451	0.00015822	1.1919	2.6552	2.4711	1.454	3.3075	2.5716	3.4839	3.7699	0.91452	2.5965	2.6799	3.8582	2.2482	2.9874	0.85125	3.2215	3.5642	1.9175	1.4719	3.2568	2.5416	3.1841	2.2822	2.0771	2.2408	0.72109	0.73701	3.4492	2.8354
Smpdl3a	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	0.096814	-0.0017261	-0.0017261	3.6386	0.44245	-0.0017261	0.098511	-0.0017261	-0.0017261	-0.0017261	0.33635	-0.0017261	3.356	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	0.95322	1.7823	-0.0017261	-0.0017261	-0.0017261	-0.0017261	1.2542	-0.0017261	2.7204	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	0.15509	-0.0017261	-0.0017261	-0.0017261	3.2048	-0.0017261	-0.0017261	-0.0017261	0.37621	-0.0017261	-0.0017261	0.71389	-0.0017261	-0.0017261	-0.0017261	-0.0017261	2.4561	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	0.44794	-0.0017261	-0.0017261	-0.0017261	-0.0017261	0.51717	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261	-0.0017261
Serinc1	2.6551	1.7127	2.298	2.9335	3.7355	2.2135	1.9469	2.0792	3.1227	2.3331	3.5738	2.0139	1.4516	1.3061	2.4982	1.8182	3.0315	2.9684	2.3635	2.9106	2.2373	1.8698	3.9933	2.4221	3.3325	2.64	1.7053	3.2209	2.6382	3.3139	2.5125	3.5479	2.5147	1.5817	3.2057	3.6197	2.7343	3.0609	2.839	2.4805	1.9683	1.4699	2.6894	2.064	1.4407	2.4253	2.1219	2.5389	2.8649	2.5983	3.6157	2.845	3.1773	2.9069	2.9311	1.5218	2.306	2.8251	2.231	3.1615	3.1331	1.9904	3.7329	3.6592	3.0027	1.3517	2.0812	2.9958	2.156	4.0372	2.4552	3.4957	1.7068	3.0643	2.4561	2.4034	2.8033	1.7326	1.6087	1.8677	2.3195
Ptprk	-0.0025225	-0.0025225	-0.0025225	2.3949	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	1.3685	2.6012	0.24785	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	1.8418	-0.0025225	-0.0025225	2.82	-0.0025225	-0.0025225	3.9792	-0.0025225	0.10397	-0.0025225	0.13964	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	0.5739	-0.0025225	-0.0025225	-0.0025225	0.58102	-0.0025225	-0.0025225	0.32608	1.2922	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225	0.38613	-0.0025225	0.81407	-0.0025225	3.7847	2.6804	0.45628	0.27776	-0.0025225	1.4952	0.15974	0.11349	0.3298	1.3068	-0.0025225	-0.0025225	0.2529	2.6041	-0.0025225	-0.0025225	-0.0025225	-0.0025225	-0.0025225
Nts	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	0.099033	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	1.9964	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	0.45772	1.0338	-0.0012048	-0.0012048	-0.0012048	0.10529	-0.0012048	-0.0012048	-0.0012048	0.80816	0.58818	1.1223	-0.0012048	-0.0012048	-0.0012048	1.0021	-0.0012048	1.0473	0.58234	-0.0012048	-0.0012048	-0.0012048	0.52945	0.35614	-0.0012048	0.39141	3.5935	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	0.35896	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	-0.0012048	1.6686	-0.0012048
Dcbld1	-0.002244	-0.002244	0.30743	0.30279	0.25951	0.096296	0.21151	0.59025	-0.002244	-0.002244	-0.002244	0.66554	-0.002244	0.29047	0.61514	0.52414	-0.002244	-0.002244	-0.002244	0.18366	-0.002244	0.37981	0.33184	0.32913	-0.002244	-0.002244	0.76106	-0.002244	0.50208	0.18981	3.7944	-0.002244	-0.002244	0.80712	-0.002244	0.25588	1.5455	1.0707	0.96848	0.37562	0.54116	1.1357	0.97713	1.1215	1.2697	-0.002244	0.20096	1.1788	-0.002244	0.92144	-0.002244	-0.002244	-0.002244	0.85163	1.1955	-0.002244	-0.002244	0.26184	0.83121	-0.002244	-0.002244	0.066739	-0.002244	-0.002244	-0.002244	0.27804	0.35993	0.27277	0.16002	-0.002244	-0.002244	0.12353	-0.002244	0.30204	0.25318	0.50537	0.41407	0.53429	0.13159	-0.002244	-0.002244
P4ha1	0.97543	2.5708	2.0373	2.9317	3.3691	2.2025	1.3779	0.629	1.8635	3.2282	3.5834	1.6146	3.5037	3.8049	2.9071	1.3486	3.5315	2.8558	3.1758	4.0627	1.5631	1.9159	2.8259	2.9643	4.1926	2.5734	2.5076	3.2306	0.40031	3.5753	2.8812	2.6641	1.4038	2.9859	2.1766	2.1306	3.1048	1.4126	2.5499	3.1189	2.3727	2.2839	1.5269	3.2031	3.0139	1.4356	3.279	2.1048	3.0724	2.9571	2.9416	2.6745	1.8566	2.5832	1.7273	2.4314	3.6607	3.3424	2.8924	3.6169	2.361	2.1819	3.4852	3.9589	3.2874	4.0371	2.0854	2.2295	3.2897	3.7908	2.2404	2.1757	2.6786	1.1502	3.6398	0.78932	1.3306	0.71769	0.96968	3.055	2.6668
Lims1	0.068385	3.5279	0.17639	2.8389	1.9415	1.4663	1.6693	3.0033	3.6874	0.33691	3.1834	2.4535	1.8443	0.32444	2.1643	0.47232	0.49966	2.857	2.2188	1.5498	2.8588	1.4125	1.3423	2.1677	1.1055	0.32112	1.1253	0.0069038	2.4669	2.8306	2.9712	3.4533	2.6979	2.0949	3.3225	1.2197	2.076	0.7839	1.9583	1.3635	2.8045	1.8096	2.6693	1.249	0.77301	3.0068	1.8863	2.8155	2.2389	2.8455	2.6079	2.3101	1.127	2.2298	2.8567	2.4767	2.3739	3.0107	2.9361	3.5332	1.569	2.8299	3.3711	2.08	1.6865	2.0608	2.5724	0.44133	3.4345	1.9153	2.3392	2.2988	2.8075	2.7199	2.3391	2.0871	2.208	1.4087	0.94294	2.8646	2.0097
Zwint	2.9634	3.7724	2.8673	3.539	3.2769	1.6448	2.6332	2.3021	3.2676	3.5313	3.8062	3.7505	3.1487	1.8427	3.1189	2.7409	3.4448	2.7583	1.2602	1.9775	1.8161	1.5587	3.6675	2.2258	2.2042	2.1904	2.8139	2.3286	3.7741	3.8811	3.0244	1.7042	1.3533	3.1144	3.6678	3.6543	1.8894	3.2295	3.1567	3.1941	2.8532	3.013	2.6891	3.4308	2.4783	3.6257	3.1979	2.4608	2.9096	2.6654	3.7708	2.6958	2.5283	3.5001	3.1063	1.9691	2.5428	1.8404	3.3792	3.4576	3.4229	3.9623	1.8117	3.397	2.9123	3.6961	2.9237	3.5185	3.9599	1.461	2.6352	2.861	2.1692	3.5347	3.6603	3.4074	2.3798	1.9897	4.3594	1.2881	2.8051
Cdk1	3.4204	1.913	2.5581	1.8932	3.5702	2.6316	2.3537	2.7783	1.0171	3.469	2.9205	3.5472	1.8498	1.6929	2.2761	1.1617	1.793	2.9508	3.3352	2.2364	3.3975	1.5578	1.2804	3.3528	2.4693	2.5487	3.3191	2.1928	3.7825	2.0808	2.2512	3.9379	2.7162	2.4075	0.8704	3.6775	2.674	3.6249	2.4735	1.8892	2.4956	2.7243	2.5046	3.5085	3.4294	3.3117	3.1487	2.5428	2.548	2.657	1.6692	2.6952	4.2067	2.7644	2.6306	2.7883	2.274	3.4294	1.0166	1.2054	2.2161	4.0499	1.5321	2.7065	3.674	2.0117	2.8737	1.7889	2.5761	2.0038	2.9531	2.5426	2.6559	3.1626	3.9661	3.2365	2.5676	1.8643	1.7833	1.5741	2.8308
Atp2b1	2.4414	3.6333	3.0873	4.2356	2.8115	2.9366	2.1098	3.5642	3.806	3.616	3.5799	2.6681	2.3213	4.0434	3.1222	2.9472	3.7771	2.7058	3.321	2.9774	2.9166	2.9196	3.8295	2.6482	2.0483	2.487	3.4614	3.2841	1.7909	2.628	3.2075	2.5667	3.6504	2.249	3.0129	3.4096	2.5748	1.6017	3.5081	3.2242	3.3765	2.3838	2.7502	3.2777	2.7009	3.1232	2.8313	3.0322	3.1683	2.5894	2.3834	3.2943	3.4105	3.0026	3.058	2.5033	2.5091	3.521	3.1482	3.5183	3.124	3.4381	3.5478	3.416	3.1604	3.7445	2.8977	1.7567	2.9254	3.3444	2.9652	3.0032	3.0913	3.8846	3.3125	3.2162	2.178	3.2965	2.8862	4.1693	2.7804
1700040L02Rik	-0.00075047	-0.00075047	1.6352	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	3.1873	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	1.7941	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	-0.00075047	0.36142	-0.00075047	-0.00075047	-0.00075047	-0.00075047	0.12503	-0.00075047	0.30353	-0.00075047	2.1897	-0.00075047	-0.00075047	-0.00075047	0.21488	-0.00075047
Arid5b	2.3386	1.9334	3.1736	3.1448	3.5272	1.4561	1.3517	2.0853	3.6164	2.9743	1.2156	1.3643	2.3329	3.5111	2.2006	3.0379	3.3587	0.36849	0.073359	1.2942	2.3065	0.99806	2.9614	2.8208	1.5359	0.12634	0.82687	2.9256	0.55711	1.9366	2.0954	1.0771	0.75002	2.8486	0.65741	2.3563	3.0265	1.9095	2.0758	2.5457	2.4639	0.47639	1.5723	0.94711	0.87964	2.582	2.1134	2.5659	1.5373	2.2403	2.8129	1.3089	4.0584	0.022913	2.5374	1.5525	0.72314	1.2385	3.0994	3.0389	2.9654	2.5007	3.2002	3.4123	1.0876	3.4011	2.459	0.56966	3.6022	0.81171	1.8411	0.8834	2.4342	0.75298	3.2425	2.5796	1.7292	0.72137	0.87104	1.9144	0.88259
Actr6	0.075639	1.1259	2.3311	0.58135	0.87343	1.5128	1.8305	1.5002	3.4816	1.1552	2.9534	2.1182	0.68366	0.93179	1.4292	2.3281	3.2062	2.8614	1.5354	0.93851	1.1181	2.3902	0.98389	-0.45947	0.98168	2.2305	-0.4072	2.1559	0.982	1.3175	1.6641	0.77845	0.80085	1.5719	2.2664	0.70086	0.97242	2.5051	1.4151	2.7333	-0.70855	-0.51741	0.31784	0.45115	0.40838	3.1628	0.1171	-0.58539	2.3571	2.6804	-0.15777	-0.26668	2.288	0.031423	1.5094	1.4095	3.1165	0.7056	2.3308	3.1945	2.3714	3.4722	0.98513	0.29093	-0.32245	0.56493	2.7575	0.57405	1.8185	0.92906	1.5044	0.88228	2.0412	2.6197	2.0217	2.5067	1.5096	0.82625	0.97811	0.74608	1.8423
Uhrf1bp1l	1.9059	2.1512	0.3606	2.6396	2.559	1.7781	1.7908	2.2298	3.2892	2.7016	2.8787	2.9517	2.7848	1.5035	2.8148	2.095	3.3895	2.0831	2.712	2.0483	2.9196	2.9314	0.91889	2.2902	3.2095	1.5652	2.6266	2.1498	0.94075	3.7195	1.3402	0.83395	2.7719	2.1825	2.6588	2.5467	1.3988	0.79938	1.73	0.75463	2.2893	1.7594	2.8508	1.8835	1.7913	1.0057	1.4916	2.4939	1.9568	1.92	1.9262	2.7641	1.5024	2.5134	1.7971	1.9885	1.2858	0.5329	1.3495	2.7839	2.1718	3.3022	2.7126	3.1105	1.5531	4.1008	2.2814	2.1645	3.5224	1.2195	2.309	1.0465	1.7578	3.0069	3.7976	2.4987	1.9032	0.89947	0.91919	1.7416	2.708
Poc1b	1.7511	0.82891	-0.24601	0.45157	2.4111	0.89607	1.1042	1.5277	0.18912	0.48166	-0.11686	0.88867	0.29979	3.4947	2.1226	1.1033	0.15516	2.7604	1.7569	0.40604	2.2527	0.15933	0.064531	-0.35412	0.57345	1.3217	1.4474	2.3822	0.15191	1.1725	1.2821	2.7082	0.71645	1.7073	0.8063	0.12855	0.5238	-0.18939	1.9969	0.27104	-0.54692	0.14894	2.1958	1.4555	1.5837	0.45501	2.7673	-0.094248	-0.83707	0.99132	-0.12057	1.8216	0.33745	1.9249	-0.719	1.068	0.26722	0.27419	-0.17932	-0.20665	-0.53913	0.57731	0.34785	0.22676	-0.24805	0.71914	1.6425	0.82188	0.42345	0.72072	2.8557	0.71292	-0.40452	0.13351	0.26944	-0.12786	1.0905	0.64114	0.6551	0.41217	2.3043
Dusp6	2.4248	2.9392	2.3189	2.3421	0.24653	2.5824	1.558	3.0274	0.67927	2.5463	2.4779	2.0869	1.6674	0.87797	0.92458	3.5789	2.7199	2.9169	3.0241	2.98	1.3599	2.1241	3.1433	1.4567	1.5611	1.1909	0.26638	3.1036	1.1847	2.5674	2.9008	1.4456	3.1793	3.0424	3.4225	1.135	2.4247	3.5525	2.228	1.8997	2.9214	2.1379	2.5902	2.1427	1.9886	2.0699	1.1695	0.63279	1.4916	2.6543	1.162	1.8274	2.1033	0.87486	2.6557	1.8267	3.1164	3.5051	3.0022	3.657	0.76188	2.4599	3.4254	3.6672	2.6104	3.4356	2.0977	1.1655	1.7785	4.1716	3.3059	2.3687	2.1333	2.3359	1.3521	0.73561	1.8816	1.4198	0.72009	2.3992	0.82099
